,year,month,weekofday,hour,Holiday,count
673,2013,12,5,16,0,4843
674,2014,1,2,17,1,986
675,2014,2,3,5,0,957
676,2014,3,5,16,0,13249
677,2014,3,5,23,0,17868
678,2014,4,5,7,0,2786
679,2014,6,1,5,0,1369
680,2014,6,2,2,0,2215
681,2014,7,5,22,0,13066
682,2014,10,0,18,0,7951
683,2015,2,6,15,0,11340
684,2015,5,5,3,0,12225
685,2015,5,2,5,0,1765
686,2015,5,2,21,0,12481
687,2015,6,3,22,0,11894
688,2015,6,6,13,0,9551
689,2015,9,3,2,0,2801
690,2015,11,2,23,1,1989
691,2016,2,5,22,0,16532
692,2013,8,1,14,0,45
693,2013,8,1,2,0,11
694,2013,10,0,4,0,140
695,2014,1,6,16,0,5703
696,2014,3,3,19,0,12063
697,2014,9,2,16,0,9098
698,2014,9,3,15,0,8870
699,2014,11,3,14,1,2506
700,2014,12,1,3,0,2050
701,2014,12,2,6,0,3316
702,2015,2,0,18,0,10023
703,2015,2,4,21,0,18979
704,2015,2,5,4,0,6893
705,2015,4,6,6,0,2965
706,2015,5,0,14,0,6841
707,2015,5,0,6,1,539
708,2015,7,5,2,0,11527
709,2015,9,5,17,0,13741
710,2015,9,0,2,1,1744
711,2015,11,2,18,1,3020
712,2016,1,0,3,1,786
713,2016,3,5,9,0,6966
714,2016,3,0,2,0,2072
715,2016,5,0,3,1,1052
716,2016,6,3,18,0,16144
717,2013,8,0,11,0,42
718,2013,8,4,19,0,110
719,2013,8,1,9,0,34
720,2013,9,0,1,1,28
721,2013,9,0,8,1,8
722,2013,9,1,21,0,286
723,2013,12,4,8,0,3647
724,2014,1,0,13,0,3045
725,2014,3,6,18,0,12628
726,2014,4,4,21,0,14010
727,2014,5,6,3,0,9730
728,2014,6,1,22,0,7925
729,2014,7,1,0,0,5886
730,2014,8,3,22,0,10513
731,2014,12,3,2,0,2349
732,2015,3,5,2,0,11526
733,2015,6,2,16,0,10742
734,2015,6,4,15,0,11830
735,2015,6,5,10,0,8115
736,2015,9,2,15,0,11474
737,2015,9,5,11,0,8617
738,2016,1,5,2,0,10892
739,2016,3,1,13,0,9110
740,2016,4,6,17,0,11256
741,2016,5,0,21,0,8017
742,2016,6,5,21,0,13424
743,2013,8,4,20,0,129
744,2013,9,0,14,1,24
745,2013,9,0,17,1,43
746,2013,9,1,22,0,248
747,2013,9,2,12,0,291
748,2013,9,3,16,0,408
749,2014,4,3,13,0,6675
750,2014,5,5,8,0,5307
751,2014,5,5,11,0,8685
752,2014,6,6,9,0,5001
753,2014,8,0,15,0,6932
754,2014,8,1,18,0,9832
755,2014,9,6,16,0,10245
756,2014,10,0,2,1,860
757,2014,12,3,16,0,8844
758,2015,2,0,10,0,6829
759,2015,5,4,16,0,16514
760,2015,5,6,13,0,12287
761,2015,5,6,16,0,16584
762,2015,5,3,1,0,5084
763,2015,6,3,14,0,9742
764,2015,7,4,6,1,701
765,2015,8,1,16,0,8756
766,2015,11,2,0,1,1498
767,2015,12,0,1,0,3645
768,2016,2,0,8,0,10359
769,2016,4,1,15,0,8977
770,2016,4,2,4,0,1411
771,2013,8,5,14,0,62
772,2013,11,3,12,1,614
773,2013,12,2,13,0,2387
774,2014,1,3,0,0,3704
775,2014,2,4,16,0,10213
776,2014,3,3,3,0,1519
777,2014,4,0,13,0,5732
778,2014,5,2,2,0,2128
779,2014,6,0,11,0,7425
780,2014,7,3,17,0,12908
781,2014,9,3,21,0,10196
782,2014,10,0,23,1,1325
783,2015,1,5,6,0,2987
784,2015,2,0,15,0,7188
785,2015,3,6,12,0,11203
786,2015,4,6,13,0,9563
787,2015,4,0,7,0,6812
788,2015,5,0,18,0,9171
789,2015,7,0,4,0,2304
790,2015,7,1,20,0,9069
791,2015,7,4,22,0,14885
792,2015,9,0,3,1,1371
793,2015,9,0,5,1,735
794,2015,9,0,10,0,5644
795,2016,1,0,10,0,5756
796,2016,2,3,4,0,1493
797,2016,2,3,9,0,10384
798,2016,2,6,1,0,13917
799,2016,3,1,23,0,9179
800,2016,3,3,1,0,5074
801,2016,4,4,1,0,6718
802,2016,4,2,20,0,11986
803,2016,5,4,3,0,2978
804,2016,5,0,4,1,809
805,2016,6,1,9,0,8325
806,2013,8,2,0,0,19
807,2013,9,2,22,0,297
808,2013,10,3,23,0,1268
809,2013,11,1,0,0,1251
810,2013,11,3,8,1,380
811,2013,12,6,8,0,1493
812,2013,12,1,2,0,1189
813,2014,1,1,0,0,2607
814,2014,3,5,13,0,9499
815,2014,3,6,8,0,3039
816,2014,4,0,18,0,10295
817,2014,5,4,1,0,6880
818,2014,5,0,4,0,1479
819,2014,6,3,20,0,10717
820,2014,7,4,3,0,1975
821,2014,8,2,22,0,8813
822,2014,9,0,6,1,541
823,2014,9,0,11,1,1205
824,2014,11,2,22,0,9816
825,2014,12,4,10,0,7954
826,2015,1,3,8,1,870
827,2015,1,6,3,0,9475
828,2015,1,2,12,0,6948
829,2015,1,3,16,0,10688
830,2015,3,5,11,0,9443
831,2015,7,6,16,0,11610
832,2015,8,2,23,0,9244
833,2015,9,2,11,0,9414
834,2015,9,0,15,1,2273
835,2015,9,0,5,0,1373
836,2015,10,0,4,0,1515
837,2015,12,1,20,0,13761
838,2016,2,0,16,0,9689
839,2016,2,6,4,0,7263
840,2016,3,4,8,0,9992
841,2016,6,6,16,0,10829
842,2013,8,6,19,0,30
843,2013,9,3,19,0,535
844,2013,12,2,9,0,2661
845,2014,1,3,14,0,6478
846,2014,2,0,11,1,1131
847,2014,4,4,16,0,10556
848,2014,5,3,3,0,2276
849,2014,5,5,3,0,9377
850,2014,6,3,14,0,8031
851,2014,7,2,6,0,3057
852,2014,8,0,18,0,8946
853,2014,10,5,6,0,2612
854,2014,10,1,17,0,10182
855,2014,11,5,7,0,4384
856,2014,11,4,9,0,8427
857,2014,12,3,1,1,2226
858,2015,2,0,5,0,1054
859,2015,4,4,8,0,9631
860,2015,4,6,0,0,19848
861,2015,4,0,14,0,8407
862,2015,5,3,5,0,1894
863,2015,5,3,10,0,8840
864,2015,5,0,0,1,2998
865,2015,6,4,14,0,10065
866,2015,6,6,8,0,3645
867,2015,7,3,8,0,11921
868,2015,7,4,17,1,3053
869,2015,8,4,0,0,8947
870,2015,10,0,16,0,7045
871,2015,12,1,3,0,1993
872,2016,1,0,13,0,5320
873,2016,4,6,7,0,2976
874,2016,4,1,9,0,9752
875,2016,5,0,10,0,7610
876,2016,6,1,21,0,7413
