,weekofday,Pick_up_hour,avg(Efficiency),min(Efficiency),max(Efficiency)
116,2,12,1.0708323318581614,0.00018518518518518518,29.032258064516125
117,2,1,1.176093385531563,0.005159071367153913,29.999999999999993
118,4,18,1.0425717272245478,4.1713014460511685e-05,27.999999999999993
119,6,0,1.0618807480124197,4.901960784313725e-05,28.125
120,1,13,1.0716516415444033,0.0005484460694698354,28.695652173913043
121,4,5,1.1723027030403552,0.0009724473257698542,27.586206896551726
122,6,1,1.07835198435071,8.472182999152782e-05,29.62222222222222
123,4,3,1.1574459621344424,0.10256410256410256,25.263157894736842
124,1,0,1.1623275800799029,0.005213903743315508,28.571428571428573
125,5,18,1.0279215433382642,4.6296296296296294e-05,27.999999999999993
126,0,2,1.178206350605313,0.1256018421603517,26.08695652173913
127,0,8,1.0746763520977054,0.00035211267605633805,29.26829268292683
128,1,18,1.0564931819126118,0.0003773584905660377,28.799999999999997
129,5,11,1.0735183989926644,0.00039603960396039607,28.235294117647058
130,1,6,1.1181796779646678,0.0007416563658838072,25.714285714285715
131,0,16,1.0522768280594184,0.00047846889952153117,29.999999999999993
132,3,9,1.0842077267688601,0.0008915304606240713,28.88888888888889
133,2,7,1.0672048575639796,0.0066273932253313695,29.999999999999993
134,1,8,1.066114409473771,0.004984423676012461,29.032258064516125
135,1,9,1.078652036198815,4.008551576696953e-05,28.799999999999997
136,6,3,1.1017404997363434,0.006320224719101123,29.09090909090909
137,5,9,1.1090636797590863,0.00044943820224719103,28.125
138,6,5,1.149796883169377,0.03198578409595735,28.965517241379306
139,2,5,1.1835611435435904,0.07692307692307693,27.333333333333332
140,5,15,1.0395596347144391,9.837678307919331e-05,27.999999999999993
141,4,22,1.0656386678346608,0.0003486345148169669,29.09090909090909
142,6,22,1.0891085495565216,5.9241706161137436e-05,28.571428571428573
143,3,7,1.0701205026578275,0.0008287292817679558,29.50819672131147
144,4,21,1.0648551066701648,5.005422541086177e-05,29.999999999999993
145,6,4,1.1101824054562308,0.0003313086692435119,25.0
146,2,15,1.0616667187671203,0.0005758157389635317,29.714285714285715
147,3,19,1.0613893696532901,9.312432096849294e-05,27.586206896551726
148,5,6,1.1668689474637663,0.072992700729927,27.36842105263158
149,4,9,1.0879918607799184,0.00015953203935123634,28.965517241379306
150,4,0,1.114386821735259,5.831470502478376e-05,26.25
151,0,17,1.0547421963029926,0.00021216407355021218,29.158878504672895
152,0,7,1.0729609925130643,0.0003696857670979667,28.88888888888889
153,6,11,1.0956088674949198,0.00018679950186799502,26.47058823529412
154,1,22,1.1068137350791265,0.00014609203798392987,28.571428571428573
155,4,14,1.0604093004316697,0.00045592705167173255,28.42105263157895
156,4,13,1.0725160923807093,0.00028585040495474035,29.333333333333332
157,6,16,1.0378405690943706,8.280430582390284e-05,28.88888888888889
158,1,21,1.0951436452035093,0.00038363171355498723,29.714285714285715
159,2,10,1.0855464466262064,0.00012327922745017467,29.714285714285715
160,6,13,1.0565110176483925,0.0006382978723404255,28.75
161,3,14,1.0661944623475061,0.0001250260470931444,29.411764705882355
162,0,9,1.089747610033772,8.115785202218314e-05,29.032258064516125
163,0,14,1.069882264002209,4.6685340802987865e-05,27.954545454545457
164,6,9,1.1507126949645217,0.0018348623853211008,28.88888888888889
165,5,21,1.0480087434501117,5.884083553986467e-05,29.26829268292683
166,5,20,1.0417318263735986,0.00017103762827822122,28.125
167,2,9,1.0855500847061947,0.000379746835443038,29.999999999999993
