,weekofday,hour,icon,count
533,6,13,rain,10053
534,6,15,rain,4311
535,2,6,,3154
536,0,15,fog,4932
537,5,0,,3395
538,0,7,clear-day,91344
539,0,9,rain,24314
540,5,14,clear-day,130842
541,3,10,fog,4554
542,5,13,rain,18542
543,6,15,partly-cloudy-day,55983
544,5,6,clear-day,16962
545,2,16,,23241
546,6,10,,8349
547,2,3,clear-night,45336
548,2,17,rain,51257
549,2,13,wind,7233
550,4,22,cloudy,28898
551,5,6,wind,1695
552,6,0,wind,15435
553,2,18,rain,49873
554,5,13,,17969
555,5,8,wind,5247
556,4,17,partly-cloudy-day,133867
557,3,23,cloudy,45389
558,5,18,wind,37555
559,6,1,partly-cloudy-night,86205
560,6,12,wind,16603
561,1,21,wind,23684
562,1,19,partly-cloudy-day,23792
563,0,18,,7313
564,6,2,wind,21354
565,6,4,cloudy,17910
566,2,5,rain,3413
567,1,13,fog,3042
568,1,9,snow,2906
569,2,12,rain,15553
570,3,1,rain,5927
571,3,9,rain,21246
572,0,15,partly-cloudy-day,49050
573,0,13,,4667
574,4,7,wind,10493
575,4,19,fog,2054
576,4,11,fog,3542
577,4,23,,16513
578,0,8,cloudy,34197
579,3,2,partly-cloudy-night,16830
580,6,16,partly-cloudy-day,91336
581,1,4,rain,5281
582,0,17,fog,7263
583,3,15,fog,2332
584,4,13,rain,9851
585,4,18,partly-cloudy-night,13117
586,5,14,,20186
587,4,21,wind,22252
588,4,22,wind,18042
589,2,18,clear-night,110791
590,1,15,rain,36414
591,4,2,snow,863
592,2,13,rain,20472
593,0,18,wind,31931
594,0,10,clear-day,139909
595,3,17,partly-cloudy-day,143175
596,6,12,snow,853
597,5,11,wind,17804
598,5,8,,8907
599,4,1,wind,6224
600,4,8,partly-cloudy-day,87875
601,6,4,rain,15184
602,4,0,wind,11792
603,3,1,cloudy,18630
604,4,2,rain,5471
605,5,8,partly-cloudy-day,35036
606,6,0,clear-night,433107
607,0,0,clear-night,163502
608,4,3,clear-night,76900
609,1,23,partly-cloudy-night,46801
610,0,17,rain,10847
611,1,20,rain,34562
612,2,2,rain,5046
613,2,6,rain,3904
614,4,10,fog,3788
615,1,7,fog,5047
616,0,11,partly-cloudy-day,76098
617,6,14,partly-cloudy-day,117399
618,5,13,cloudy,21405
619,1,20,,14531
620,1,19,cloudy,22871
621,1,14,snow,838
622,5,9,partly-cloudy-day,12377
623,6,14,,15111
624,5,1,snow,2203
625,3,19,rain,15549
626,2,22,partly-cloudy-night,51852
627,2,4,snow,321
628,2,23,rain,28138
629,1,20,partly-cloudy-day,28455
630,2,9,partly-cloudy-day,29825
631,3,22,clear-night,242395
632,0,23,cloudy,21974
633,2,7,clear-night,30149
634,1,13,wind,11245
635,2,5,snow,294
636,2,7,wind,986
637,6,18,partly-cloudy-day,31304
638,2,4,,930
639,3,4,clear-night,42834
640,6,2,rain,32185
641,1,7,wind,6322
642,0,19,rain,18170
643,0,1,rain,9588
644,3,0,fog,2977
645,5,7,fog,1630
646,2,17,clear-day,66919
647,1,17,cloudy,36301
648,1,22,wind,16039
649,5,3,,12785
650,5,23,wind,12407
651,6,7,partly-cloudy-night,10523
652,0,7,fog,4486
653,3,7,snow,2312
654,6,12,partly-cloudy-day,30351
655,1,14,fog,2608
656,1,5,,387
657,2,11,partly-cloudy-day,69329
658,3,6,clear-night,54679
659,0,13,wind,6371
660,3,16,partly-cloudy-day,100463
661,1,19,rain,38639
662,2,15,rain,25377
663,2,1,wind,4263
664,6,15,fog,2681
665,2,2,fog,1943
666,4,22,snow,4017
667,6,14,cloudy,13912
668,3,20,clear-night,167520
669,0,16,wind,20133
670,6,21,rain,14272
671,1,13,rain,14730
672,6,10,cloudy,12625
673,2,23,fog,3748
674,5,20,wind,11805
675,6,19,,17338
676,5,19,,29493
677,2,17,partly-cloudy-night,2838
678,0,18,clear-day,126759
