,date,not_tip,count(date)
440,2014-10-20 00:00:00,False,15269
441,2015-07-07 00:00:00,True,10870
442,2015-07-08 00:00:00,True,12319
443,2015-07-12 00:00:00,True,17083
444,2015-12-17 00:00:00,False,2226
445,2016-01-13 00:00:00,False,2033
446,2016-02-18 00:00:00,True,14290
447,2016-03-17 00:00:00,False,2476
448,2014-11-02 00:00:00,False,23668
449,2014-12-19 00:00:00,True,16821
450,2015-06-01 00:00:00,False,1978
451,2015-08-09 00:00:00,True,18048
452,2015-10-05 00:00:00,False,1769
453,2015-10-24 00:00:00,False,3030
454,2015-11-23 00:00:00,False,1824
455,2015-11-28 00:00:00,True,15356
456,2016-02-29 00:00:00,True,12234
457,2016-03-31 00:00:00,True,13679
458,2016-05-02 00:00:00,True,11629
459,2016-05-11 00:00:00,False,1681
460,2016-06-25 00:00:00,False,2795
461,2014-03-09 00:00:00,False,15724
462,2014-07-24 00:00:00,True,10621
463,2015-04-24 00:00:00,False,2586
464,2015-07-24 00:00:00,False,2426
465,2015-12-02 00:00:00,False,1833
466,2016-01-01 00:00:00,False,3115
467,2016-02-13 00:00:00,True,22995
468,2016-06-20 00:00:00,False,1723
469,2014-08-07 00:00:00,False,16729
470,2014-10-18 00:00:00,True,18220
471,2014-10-24 00:00:00,False,19292
472,2014-12-06 00:00:00,False,5474
473,2015-03-22 00:00:00,True,19409
474,2015-06-02 00:00:00,False,1770
475,2015-07-15 00:00:00,True,12534
476,2015-09-23 00:00:00,False,861
477,2015-12-03 00:00:00,True,13613
478,2015-12-26 00:00:00,False,2135
479,2016-01-18 00:00:00,False,1849
480,2016-06-18 00:00:00,False,595
481,2016-06-28 00:00:00,True,9639
482,2016-06-29 00:00:00,True,10472
483,2014-10-04 00:00:00,True,17259
484,2014-10-30 00:00:00,True,12587
485,2015-01-11 00:00:00,False,2381
486,2015-04-26 00:00:00,True,19491
487,2015-08-16 00:00:00,True,1543
488,2015-08-17 00:00:00,False,1832
489,2015-12-24 00:00:00,True,12656
490,2015-12-29 00:00:00,False,1885
491,2016-01-26 00:00:00,True,9025
492,2014-03-04 00:00:00,False,12496
493,2014-05-13 00:00:00,False,15400
494,2014-09-23 00:00:00,False,14796
495,2014-10-25 00:00:00,True,18830
496,2014-11-05 00:00:00,True,11722
497,2015-01-12 00:00:00,False,1662
498,2015-02-10 00:00:00,True,10730
499,2015-03-04 00:00:00,True,12149
500,2015-05-29 00:00:00,True,15199
501,2015-08-13 00:00:00,True,12983
502,2015-10-19 00:00:00,True,11424
503,2015-10-25 00:00:00,True,19114
504,2016-05-23 00:00:00,True,10646
505,2014-03-07 00:00:00,True,7686
506,2014-03-12 00:00:00,True,6394
507,2014-06-04 00:00:00,False,16869
508,2014-06-27 00:00:00,False,18814
509,2014-10-03 00:00:00,True,13276
510,2014-12-07 00:00:00,False,24310
511,2015-05-16 00:00:00,True,20976
512,2015-07-22 00:00:00,True,12642
513,2015-08-20 00:00:00,True,13798
514,2015-10-28 00:00:00,True,13018
515,2016-01-04 00:00:00,True,11413
516,2016-06-15 00:00:00,True,10660
517,2015-05-03 00:00:00,True,19653
518,2015-12-18 00:00:00,False,1143
519,2015-12-20 00:00:00,True,19957
520,2013-09-30 00:00:00,False,2
521,2014-01-22 00:00:00,False,7
522,2014-10-14 00:00:00,True,9790
523,2015-01-28 00:00:00,True,10700
524,2015-02-26 00:00:00,False,2354
525,2015-10-23 00:00:00,False,2299
526,2015-10-26 00:00:00,False,1635
527,2015-11-14 00:00:00,False,3093
528,2015-12-21 00:00:00,True,12708
529,2016-02-14 00:00:00,False,3092
530,2016-05-21 00:00:00,False,3090
531,2014-03-02 00:00:00,False,16209
532,2014-06-07 00:00:00,True,17303
533,2014-11-03 00:00:00,False,15588
534,2014-11-08 00:00:00,False,25422
535,2015-06-15 00:00:00,True,12233
536,2015-09-28 00:00:00,False,1799
537,2015-10-07 00:00:00,True,11560
538,2015-12-14 00:00:00,False,1944
539,2014-01-26 00:00:00,False,16
540,2014-06-21 00:00:00,True,16991
541,2014-07-31 00:00:00,False,16530
542,2014-11-11 00:00:00,False,14228
543,2015-09-25 00:00:00,True,15267
544,2015-11-18 00:00:00,True,12478
545,2015-12-31 00:00:00,False,3054
546,2016-05-10 00:00:00,False,380
547,2016-06-27 00:00:00,False,1720
548,2014-02-01 00:00:00,False,18
549,2014-05-24 00:00:00,True,15174
550,2014-09-08 00:00:00,True,9289
551,2014-10-01 00:00:00,False,15728
552,2014-12-11 00:00:00,True,14173
553,2015-07-10 00:00:00,True,14114
554,2014-07-15 00:00:00,False,14637
555,2014-10-01 00:00:00,True,10793
556,2015-01-15 00:00:00,True,13113
557,2015-01-20 00:00:00,False,1646
558,2015-03-27 00:00:00,False,2821
559,2015-04-05 00:00:00,True,18835
560,2015-05-31 00:00:00,False,2687
561,2015-09-11 00:00:00,False,2172
562,2016-03-09 00:00:00,True,1208
563,2016-04-10 00:00:00,True,19514
564,2014-01-29 00:00:00,True,19
565,2014-02-25 00:00:00,True,5476
566,2015-03-01 00:00:00,False,2115
567,2015-04-01 00:00:00,True,12752
568,2015-11-16 00:00:00,False,1679
569,2014-02-12 00:00:00,False,26
570,2014-02-23 00:00:00,True,7660
571,2015-06-07 00:00:00,True,20538
572,2015-08-30 00:00:00,True,6754
573,2015-09-08 00:00:00,False,1626
574,2015-11-19 00:00:00,True,13705
575,2016-04-07 00:00:00,False,2188
576,2014-03-21 00:00:00,True,8191
577,2014-05-06 00:00:00,True,9387
578,2014-06-02 00:00:00,False,15307
579,2014-08-26 00:00:00,True,9836
580,2014-12-20 00:00:00,False,28840
581,2015-01-22 00:00:00,False,2100
582,2015-03-06 00:00:00,False,2147
583,2015-07-14 00:00:00,True,11112
584,2015-07-21 00:00:00,True,11787
585,2015-09-05 00:00:00,True,17683
586,2015-09-30 00:00:00,True,12564
587,2014-04-14 00:00:00,False,16499
